Sample,User ID,Gender,Age,Number of Repetitions,Total Time (s),Mean Time Between Repetitions (s),Mean Force (N),Mean Power (W)
68,68,Male,29,38,32.928,0.8664,861.8646,135549.8462
69,69,Female,36,4,48.532,7.5487,581.1593,136559.3221
70,70,Female,36,5,50.339,8.6167,579.9941,141182.6916
71,71,Female,25,32,31.704,0.9857,542.8776,83394.3763
73,73,Male,57,23,37.035,1.5831,727.8362,130702.955
74,74,Female,25,4,27.582,5.9603,542.9053,72563.6074
75,75,Female,27,12,31.608,2.4271,526.5888,79741.2262
77,77,Female,44,47,53.565,1.1285,597.322,154159.001
78,78,Female,17,39,33.584,0.8596,572.4463,93368.2564
79,79,Female,27,30,29.404,0.9379,533.6894,76193.6958
80,80,Female,27,46,40.07,0.8728,532.186,103159.0391
81,81,Female,54,7,29.122,3.905,720.6641,100986.4156
82,82,Male,28,16,45.111,2.744,823.9701,170254.6571
83,83,Female,27,6,40.004,6.324,529.3928,102000.2953
84,84,Male,28,33,33.308,0.9847,873.1923,141234.3692
85,85,Male,27,40,32.178,0.8187,727.9763,113926.6378
86,86,Female,17,49,44.024,0.8647,572.3176,122333.9843
87,87,Female,27,30,29.653,0.9631,533.2827,76615.3489
88,88,Female,25,24,34.989,1.3249,537.6063,90508.8453
89,89,Female,27,39,34.85,0.8866,528.2131,88116.5497
91,91,Male,51,46,71.353,1.561,814.7662,278627.3739
92,92,Female,26,24,27.125,1.0196,550.0972,71866.85
93,93,Male,28,34,52.848,1.5585,852.3092,216001.3088
94,94,Female,27,16,28.559,1.5716,531.9349,73464.5195
95,95,Male,28,37,36.127,0.9511,852.0077,149562.8977
96,96,Female,40,12,53.178,4.2422,698.3289,180034.2668
97,97,Female,25,40,31.974,0.8039,543.6455,84529.0521
98,98,Female,25,29,30.086,1.0124,572.4074,83507.6608
99,99,Male,27,32,32.536,0.9781,755.5573,119164.0204
100,100,Female,27,31,28.923,0.943,532.3182,74466.996
102,102,Male,28,40,29.124,0.7427,873.5666,123326.7238
103,103,Male,56,42,32.088,0.7318,716.9942,111607.9121
104,104,Female,39,35,55.796,1.4646,543.3006,147000.9683
105,105,Male,29,40,31.988,0.7964,872.5555,135623.3222
106,106,Female,51,50,50.013,0.9682,679.0033,164672.4416
107,107,Female,27,26,32.269,1.2461,532.5804,83240.1644
